LSTM,CNN_LSTM,REAL_VALUE
701.1714,697.65497,705.3
700.66235,697.47577,701.75
699.69324,694.5132,701.1
697.9252,693.2472,702.7
698.04297,694.4505,702.75
698.86536,694.8621,703.0
698.91504,695.17865,704.25
699.55914,696.2488,704.75
700.5713,696.9102,704.05
700.3637,696.44977,703.0
699.2329,695.3989,703.9
699.1844,695.9194,701.5
698.2815,694.04395,700.6
696.5321,692.8483,703.3
697.4966,694.89746,710.0
702.4994,700.98096,708.0
704.56055,700.81134,705.7
702.43164,698.5016,706.95
702.17377,698.8436,705.75
702.31915,698.1451,706.7
701.63196,698.82056,707.15
701.8244,699.378,707.35
702.54767,699.66077,709.2
703.6892,701.21436,708.1
703.95276,700.6961,709.1
704.1494,701.28046,708.45
704.24884,700.9411,709.4
704.45557,701.58453,708.55
704.24976,701.09937,708.9
704.06415,701.21313,710.4
704.9551,702.43976,710.05
705.4925,702.46497,709.6
705.0872,702.0738,709.5
704.8554,701.86743,710.1
705.2308,702.30884,711.9
706.32166,703.79004,710.55
706.3407,703.1416,711.2
706.1546,703.3601,712.3
707.03705,704.2512,714.5
708.68396,706.0128,714.5
709.4839,706.44403,714.95
709.7559,706.7814,715.3
710.22345,707.0924,714.75
710.0991,706.78735,714.95
709.77325,706.8237,715.9
710.25824,707.5209,717.5
711.4895,708.7948,717.15
711.9748,708.8778,716.85
711.7667,708.633,715.7
711.1991,707.76215,716.7
711.24164,708.2087,716.75
711.51953,708.4307,717.65
711.9416,709.0812,717.9
712.46484,709.4161,719.6
713.55634,710.59753,719.1
714.0673,710.582,719.75
714.2296,710.934,718.8
714.02264,710.4206,718.8
713.64984,710.25336,718.5
713.3431,710.0408,717.15
712.5065,709.08295,717.15
711.8989,708.81195,713.65
710.1652,706.3568,719.7
711.6927,709.8154,718.6
713.6303,710.1562,723.95
716.01404,713.8476,726.2
719.31665,716.54944,725.85
720.6902,717.01245,725.8
720.50525,716.9532,727.5
721.30225,718.20074,727.15
721.6791,718.3469,725.2
720.2182,716.8753,725.6
719.5147,716.67084,723.9
718.9899,715.4121,726.1
719.2374,716.7053,726.75
720.2908,717.66956,726.6
720.7981,717.7964,726.5
720.8477,717.70044,726.1
720.8143,717.3566,725.15
720.2329,716.53937,728.0
721.02484,718.4544,727.4
721.77655,718.6209,728.5
722.10583,719.3815,728.0
722.3408,719.23303,727.75
722.266,718.987,727.85
722.1286,718.98596,727.5
721.93365,718.7515,729.9
722.87933,720.36816,731.0
724.3083,721.71136,734.65
726.55,724.5649,732.95
727.4047,724.19745,737.0
728.99255,726.6305,735.95
730.20575,726.68896,735.7
729.8476,726.45337,735.6
729.56274,726.2826,735.8
729.7253,726.38947,735.3
729.3803,726.1148,733.95
728.4359,725.1471,733.85
727.9763,724.77747,733.8
727.9193,724.68274,731.0
726.5085,722.7726,730.8
725.30334,721.997,730.15
724.9292,721.3714,730.2
724.593,721.2717,729.2
723.9202,720.5457,728.65
723.36365,719.9252,729.1
723.39404,720.08344,728.0
722.96594,719.4032,726.35
721.67194,717.98883,725.0
720.34564,716.5201,724.95
719.71454,716.0874,724.75
719.37396,715.8975,733.8
723.30396,722.5191,733.5
726.8555,724.1974,734.1
727.5585,724.82513,729.35
725.99207,721.59534,727.1
723.56335,718.9083,726.7
721.81506,717.9579,725.15
720.1991,716.6576,726.05
719.6328,717.0093,725.95
719.9376,717.08984,726.55
720.43896,717.56854,731.0
722.92334,720.9002,730.3
724.6732,721.4099,730.8
724.90497,721.7778,729.75
724.72125,721.0577,729.5
724.325,720.645,730.4
724.25085,721.24384,729.05
723.69556,720.4465,728.65
722.94116,719.89856,729.3
723.0742,720.21564,729.2
723.33026,720.2777,729.0
723.18115,720.1542,729.0
723.19183,720.09937,729.55
723.59314,720.4814,729.9
723.9482,720.8686,729.55
723.89465,720.7094,731.25
724.6045,721.89575,731.0
725.19,722.0768,733.2
726.12604,723.6292,734.35
727.5351,724.8352,732.6
727.38684,723.9773,731.85
726.416,723.1095,731.9
726.18756,722.91034,731.9
726.08795,722.91565,733.25
726.4193,723.87585,730.45
725.66693,722.2072,731.05
725.0549,722.037,730.95
725.21826,722.00134,731.45
725.4073,722.3747,731.0
725.2477,722.18097,731.1
725.2453,722.16254,731.0
725.3199,722.0952,731.85
725.63043,722.6851,730.5
725.2852,721.9037,731.05
725.05475,722.01935,730.0
724.7489,721.32654,729.95
